,sentence,sentiment,topic,sentence_dropped
2490,theo quan điểm của em về các môn học chuyên ngành của sinh viên thì nhà trường không nên bắt buộc sinh viên phải thi học kỳ để lấy điểm số .,0,1,quan_điểm môn_học chuyên_ngành sinh_viên nhà_trường NOT bắt_buộc sinh_viên thi học_kỳ
2491,em cảm ơn .,1,3,cảm_ơn
2492,em cám ơn .,1,3,cám_ơn
2493,"thầy nên chia nhóm theo ngành , để các bạn có thể trả lời những câu hỏi sâu về ngành mình đang thuyết trình , ngành mình đang học .",0,0,thầy chia ngành trả_lời câu sâu ngành thuyết_trình ngành học
2494,"luôn dạy quá giờ ( khoảng 30 phút ) , ảnh hưởng đến giờ trưa của sinh viên và truyền đạt không được thu hút .",0,0,dạy quá giờ ba mươi phút ảnh_hưởng giờ trưa sinh_viên truyền_đạt NOT thu_hút
2495,giảng viên cần nhiệt tình hơn trong công tác giảng dạy .,0,0,giảng_viên cần nhiệt_tình công_tác giảng_dạy
2496,thầy dạy rất tận tâm và nhiệt tình !,2,0,thầy dạy tận_tâm nhiệt_tình
2497,"nhiệt tình giúp đỡ , cho nhiều bài tập hữu ích và thực tiễn cao .",2,0,nhiệt_tình giúp_đỡ nhiều bài_tập hữu_ích thực_tiễn
2498,giảng viên khó có thể truyền đạt hết kiến thức .,0,0,giảng_viên khó truyền_đạt kiến_thức
2499,"nội dung thầy giảng mang tính cập nhật , có nhiều nội dung hay .",2,1,nội_dung thầy giảng cập_nhật nhiều nội_dung hay
2500,"tiết học rất thoải mái , dễ tiếp thu .",2,0,tiết học thoải_mái tiếp_thu
2501,gửi mail không trả lời .,0,0,gửi mail NOT trả_lời
2502,thầy cần hướng dẫn các bạn làm bài tập khi mới bắt đầu thực hành vì các phần mềm dùng thực hành có mới với các bạn sinh viên .,0,0,thầy cần hướng_dẫn bài_tập thực_hành phần_mềm thực_hành sinh_viên
2503,"thầy dạy rất ổn , bổ sung vững kiến thức lý thuyết .",2,0,thầy dạy ổn bổ_sung vững kiến_thức lý_thuyết
2504,"chất lượng giảng dạy tốt , em rất hài lòng với cách dạy của cô .",2,3,chất_lượng giảng_dạy hài_lòng dạy cô
2505,giảng viên tích cực .,2,0,giảng_viên tích_cực
2506,"thầy vui tính , dạy hay , đầy đủ kiến thức để thi .",2,0,thầy vui_tính dạy hay đầy_đủ kiến_thức thi
2507,thường xuyên hỗ trợ sinh viên qua diễn đàn .,2,0,thường_xuyên sinh_viên diễn_đàn
2508,"slide khá nhiều chữ khiến sinh viên hơi buồn ngủ , ít hình ảnh , ví dụ minh họa .",0,1,slide nhiều chữ sinh_viên hơi buồn_ngủ hình_ảnh ví_dụ minh_họa
2509,dạy và ôn tập tận tình .,2,0,dạy ôn_tập tận_tình
2510,giáo trình môn học nên cập nhật thường xuyên .,0,1,giáo_trình môn_học cập_nhật thường_xuyên
2511,"tận tình , giảng dạy dễ hiểu , vui vẻ .",2,0,tận_tình giảng_dạy hiểu vui_vẻ
2512,thầy giảng rất tận tâm .,2,0,thầy giảng tận_tâm
2513,"tận tình , cung cấp thông tin và giải đáp thắc mắc tốt .",2,0,tận_tình cung_cấp thông_tin giải_đáp thắc_mắc
2514,bù lại cách chấm điểm sẽ đặt nặng phần hiểu vấn đề hơn như thầy wzjwz119 đã từng trình bày .,0,1,bù chấm hiểu thầy trình_bày
2515,giáo viên nhiệt tình vui tính .,2,0,giáo_viên nhiệt_tình vui_tính
2516,cách truyền đạt qua lời nói khó hiểu .,0,0,truyền_đạt hiểu
2517,"phòng học được trang bị tốt hơn , đảm bảo tốt cho công tác giảng dạy .",1,2,phòng học trang_bị công_tác giảng_dạy
2518,"chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu .",2,0,chuyên_môn sâu nhiệt_tình hiệu_quả giảng_dạy vui_tính hiểu
2519,"vui tính , dạy dễ hiểu .",2,0,vui_tính dạy hiểu
2520,"giảng bài cụ thể , chi tiết .",2,0,giảng chi_tiết
2521,"hình thức 2 cần có sự phân bố thời gian gặp sinh viên hợp lý , không thể để cuối kỳ , gặp rồi cho đồ án liên tục , ảnh hưởng đến việc ôn tập cho kỳ thi cuối kỳ của sinh viên .",0,1,hình_thức hai cần phân_bố sinh_viên hợp_lý kỳ đồ_án liên_tục ảnh_hưởng ôn_tập kỳ thi kỳ sinh_viên
2522,cô dễ thương quá em nhìn cô nhiều hơn nhìn code cô viết colonsmallsmile !,0,0,cô dễ_thương quá cô nhiều code cô viết colonsmalsmile
2523,thầy dạy tốt nhưng cần giảng mẫu cho sinh viên nắm bắt trước khi giao bài tập về nhà .,2,0,thầy dạy cần giảng mẫu sinh_viên nắm_bắt giao bài_tập
2524,em biết là cô rất buồn vì chúng em không chú tâm tới môn học của cô .,0,0,biết cô buồn NOT chú_tâm môn_học cô
2525,giảng viên dạy tốt .,2,0,giảng_viên dạy
2526,"kiến thức giảng hơi khó hiểu , nhưng giải bài tập hay hướng dẫn sinh viên làm bài thì dễ hiểu và còn tận tình chỉ bảo cho sinh viên những gì không biết , cô có thể nói lại , giảng lại một vấn đề vài lần nếu sinh viên vẫn chưa hiểu !",2,0,kiến_thức giảng hơi khó hiểu giải bài_tập hay hướng_dẫn sinh_viên hiểu tận_tình chỉ_bảo sinh_viên NOT biết cô nói giảng một sinh_viên NOT hiểu
2527,dạy đúng theo giáo trình .,2,0,dạy đúng giáo_trình
2528,"mong giảng viên chủ động trong việc truyền đạt kiến thức hơn , tránh trường hợp đợi hỏi mới trả lời , vì sinh viên làm sao biết cái mình cần hỏi đề hỏi khi lực học mới chỉ ở mức trung bình .",0,0,mong giảng_viên chủ_động truyền_đạt kiến_thức trường_hợp đợi trả_lời sinh_viên biết cần đề lực học trung_bình
2529,cần giảng dạy kỹ phần trigger các từ cơ bản vì tìm kiếm trên mạng tương đối khó khăn dù chúng tương đương lập trình cơ bản .,0,0,cần giảng_dạy kỹ triger cơ_bản tìm_kiếm mạng tương_đối khó_khăn tương_đương lập_trình cơ_bản
2530,"thầy nhiệt tình , giảng kỹ , tận tâm với sinh viên .",2,0,thầy nhiệt_tình giảng kỹ tận_tâm sinh_viên
2531,"giảng viên cần có kỹ năng sư phạm , truyền đạt nội dung môn học , thái độ nhiệt tình hơn .",0,0,giảng_viên cần kỹ_năng sư_phạm truyền_đạt nội_dung môn_học thái_độ nhiệt_tình
2532,"sản phẩm mình làm ra , đem người khác báo cáo thì không được hợp lý .",0,3,sản_phẩm đem báo_cáo NOT hợp_lý
2533,"thầy giảng hay , nhiệt tình .",2,0,thầy giảng hay nhiệt_tình
2534,"giảng dạy dễ hiểu , nhiệt tình .",2,0,giảng_dạy hiểu nhiệt_tình
2535,"giảng viên tận tâm , nhiệt tình , phương pháp giảng dạy của giảng viên giúp hiểu được và vận dụng được kiến thức .",2,0,giảng_viên tận_tâm nhiệt_tình phương_pháp giảng_dạy giảng_viên giúp hiểu vận_dụng kiến_thức
2536,"giảng viên giảng dạy nhiệt tình , bám sát chương trình .",2,0,giảng_viên giảng_dạy nhiệt_tình bám sát chương_trình
2537,dạy ít về phần code .,0,0,dạy code
2538,thầy không công bằng trong đánh giá .,0,0,thầy NOT công_bằng
2539,"giáo viên giảng dạy đầy đủ kiến thức , dễ tiếp thu , nhiệt tình giảng dạy .",2,0,giáo_viên giảng_dạy đầy_đủ kiến_thức tiếp_thu nhiệt_tình giảng_dạy
2540,"thầy đi rất đúng giờ , giảng dạy rất nhiệt tình !",2,0,thầy đi đúng giờ giảng_dạy nhiệt_tình
2541,mà hơn nữa ngủ ở lớp học còn rất dễ bị đau lưng .,0,3,ngủ lớp_học đau lưng
2542,"thầy rất hay liên hệ nhưng thứ học được ra thực tế , như những ứng dụng của các linh kiện , vdotv .",2,0,thầy hay liên_hệ học ứng_dụng linh_kiện vdotv
2543,thầy thường vào lớp trễ .,0,0,thầy lớp trễ
2544,"thầy dạy dễ hiểu , hướng dẫn chi tiết .",2,0,thầy dạy hiểu hướng_dẫn chi_tiết
2545,giảng viên đến khá trễ .,0,0,giảng_viên trễ
2546,"thầy dạy phần hai có phần hơi khó khăn trong việc điểm danh , cả khi thầy có nhầm lẫn thầy cũng không chịu nhận .",0,0,thầy dạy hai hơi khó_khăn điểm_danh thầy nhầm_lẫn thầy NOT
2547,giảng dạy còn nhiều thiết sót .,0,0,giảng_dạy nhiều 
2548,một môn học rất hay .,2,1,một môn_học hay
2549,thầy tận tâm .,2,0,thầy tận_tâm
2550,"các thiết bị giảng dạy môn học có thể không đảm bảo chất lượng , nhiều thiết bị hoạt động không tốt như doubledot loa , máy chiếu .",0,2,thiết_bị giảng_dạy môn_học NOT chất_lượng nhiều thiết_bị hoạt_động NOT doubledot loa máy_chiếu
2551,hướng dẫn dễ hiểu .,2,0,hướng_dẫn hiểu
2552,"giáo viên hướng dẫn nhiệt tình , vui vẻ , dễ tính .",2,0,giáo_viên hướng_dẫn_nhiệt_tình vui_vẻ dễ_tính
2553,"giảng dạy nhiệt tình , giờ học đúng không đi trễ về sớm .",2,0,giảng_dạy nhiệt_tình giờ học đúng NOT đi trễ
2554,giảng viên nên quan tâm nhiều hơn đến mức hiểu bài của sinh viên qua mỗi giờ học bằng cách hỏi những câu hỏi liên quan ở cuối giờ qua đó cộng điểm để tạo thêm sự yêu thích môn học .,0,0,giảng_viên quan_tâm nhiều hiểu sinh_viên giờ học câu giờ cộng yêu môn_học
2555,"cô tuy còn trẻ nhưng rất tận tâm với sinh viên , khi sinh viên có vấn đề gì hỏi cô , cô đều giải thích rất kỹ , đôi khi còn nói thêm những vấn đề liên quan .",2,0,cô trẻ tận_tâm sinh_viên sinh_viên cô cô giải_thích kỹ đôi_khi nói
2556,"cô lên lớp đúng giờ , tiết học được chuẩn bị tốt , cô rất thân thiện !",2,0,cô lên_lớp đúng giờ tiết học cô thân_thiện
2557,thầy dạy rất chậm rãi kết hợp với biểu đồ vẽ trên bản đồ giúp sinh viên dễ hiểu hơn .,2,0,thầy dạy chậm_rãi kết_hợp  vẽ  giúp sinh_viên hiểu
2558,rất hòa đồng .,2,0,hòa đồng
2559,thầy dạy hay dễ hiểu .,2,0,thầy dạy hay hiểu
2560,giọng nói truyền cảm .,2,0,giọng nói truyền_cảm
2561,"giảng viên giảng ít , phần lớn tự sinh viên tìm hiêu trên mạng .",0,0,giảng_viên giảng sinh_viên hiêu mạng
2562,nên phân bổ thời gian hợp lý hơn .,0,1,phân_bổ hợp_lý
2563,"bài tập nhiều , đa dạng .",2,1,bài_tập nhiều đa_dạng
2564,"tận tâm , nhiệt tình , thân thiện , hướng dẫn ân cần , theo sát năng lực học tập của sinh viên .",2,0,tận_tâm nhiệt_tình thân_thiện hướng_dẫn ân_cần sát năng_lực học_tập sinh_viên
2565,giới thiệu những mảng mới cho sinh viên .,2,0,giới_thiệu mảng sinh_viên
2566,"đồ án cho sinh viên làm rất mơ hồ , đa số không thể hiểu được giáo viên đang yêu cầu làm gì .",0,1,đồ_án sinh_viên mơ_hồ đa_số hiểu giáo_viên
2567,"bởi chúng em đang đi học , phải học của nhiều môn khác nhau .",1,3,đi học học nhiều môn
2568,"giảng viên nhiệt tình thân thiện , trình độ cao .",2,0,giảng_viên nhiệt_tình thân_thiện trình_độ
2569,"giảng viên nhiệt tình , vui vẻ , chịu khó .",2,0,giảng_viên nhiệt_tình vui_vẻ chịu_khó
2570,"thầy rất tận tâm , nhiệt tình .",2,0,thầy tận_tâm nhiệt_tình
2571,"giảng quá nhanh với phần bài tập , không nắm bắt được các dạng bài làm nó như thế nào .",0,0,giảng quá nhanh bài_tập NOT nắm_bắt dạng bài_làm
2572,cách giảng viên liên kết nội dung bài học với những thông tin mang tính thực tế .,2,0,giảng_viên liên_kết nội_dung bài_học thông_tin
2573,"giáo trình anh văn chưa phù hợp , gây chán vì nhiều kiến thức đã biết qua rồi .",0,0,giáo_trình văn NOT chán nhiều kiến_thức biết
2574,cô dễ thương .,2,0,cô dễ_thương
2575,"rất thân thiện , nhiệt tình , quan tâm sinh viên , dạy hay và dễ hiểu .",2,0,thân_thiện nhiệt_tình quan_tâm sinh_viên dạy hay hiểu
2576,"cần có những lớp training cho các bạn yếu , mất căn bản .",0,1,cần lớp training yếu NOT căn_bản
2577,"mặc dù giảng viên đã có chỉnh đốn nội dung ngay trên lớp , nhưng không có tài liệu về nhà đọc lại thì sao nắm được ?",0,0,mặc_dù giảng_viên  nội_dung lớp NOT tài_liệu đọc nắm
2578,giảng viên có kinh nghiệm .,2,0,giảng_viên kinh_nghiệm
2579,không có nhiều tài liệu môn học được cung cấp cho sinh viên ngoài slide bài giảng của giảng viên .,0,1,NOT nhiều tài_liệu môn_học cung_cấp sinh_viên slide giảng giảng_viên
2580,chất lượng kiến thức được giáo viên truyền đạt hay .,2,3,chất_lượng kiến_thức giáo_viên truyền_đạt hay
2581,thầy nên giảng chậm hơn để sinh viên có thể theo kịp bài và cho sinh viên copy slide bài giảng .,0,0,thầy giảng chậm sinh_viên kịp sinh_viên copy slide giảng
2582,"thầy dạy hay , nhiều kinh nghiệm , có phần demo trực tiếp trên visual studio giúp dễ hiểu .",2,0,thầy dạy hay nhiều kinh_nghiệm demo visual studio giúp hiểu
2583,"nhiệt tình giải đáp thắc mắc của sinh viên , chu đáo , tận tâm , nội dung thực hành chuẩn bị cẩn thận và cần thiết .",2,0,nhiệt_tình giải_đáp thắc_mắc sinh_viên chu_đáo tận_tâm nội_dung thực_hành cẩn_thận cần_thiết
2584,"cô nhiệt tình , dễ hiểu .",2,0,cô nhiệt_tình hiểu
2585,cần có những tiết học sinh động hơn là để sinh viên ngồi một chỗ và nghe nhưng không hiểu .,0,1,cần tiết học_sinh_động sinh_viên một chỗ NOT hiểu
2586,phần học trên mức độ kiến thức còn thấp so với đề thi của trường .,0,0,học mức_độ kiến_thức đề thi trường
2587,cô dạy dễ hiểu .,2,0,cô dạy hiểu
2588,sự tận tâm của giảng viên .,2,0,tận_tâm giảng_viên
2589,em thích cách dạy của thầy .,2,0,dạy thầy
2590,giảng viên cần cân nhắc trong việc giao việc cho sinh viên .,0,0,giảng_viên cần cân_nhắc giao sinh_viên
2591,"phòng học hơi nhỏ , nên nâng cấp .",0,2,phòng học hơi nhỏ nâng_cấp
2592,rõ ràng .,2,3,rõ_ràng
2593,"cô dạy rất tâm huyết , nhiệt tình .",2,0,cô dạy tâm_huyết nhiệt_tình
2594,"thầy dạy tốt , có nhiều kiến thức chuyên sâu , hỗ trợ rất nhiều cho sinh viên trong khâu nâng cao kiến thức chuyên môn .",2,0,thầy dạy nhiều kiến_thức chuyên_sâu nhiều sinh_viên khâu nâng cao_kiến_thức chuyên_môn
2595,"gần gũi , hòa đồng với sinh viên .",2,0,gần_gũi hòa đồng sinh_viên
2596,"cô rất nhiệt tình khi giảng dạy , kiên nhẫn với sinh viên .",2,0,cô nhiệt_tình giảng_dạy kiên_nhẫn sinh_viên
2597,"thật sự là bài tập hơi nhiều thì tốt , nhưng có nhiều bài tương tự nhau .",0,1,bài_tập hơi nhiều nhiều tương_tự
2598,"nhiệt tình , tận tâm với sinh viện .",2,0,nhiệt_tình tận_tâm sinh viện
2599,cần thêm một số topic để rèn luyện thêm .,0,1,cần topic rèn_luyện
2600,sau khi thi kỳ thi cuối kỳ vừa rồi .,1,1,thi kỳ thi kỳ
2601,"p fraction s doubledot phía trên là ý kiến em tổng hợp từ em và các bạn học cùng lớp này , có nhiều bạn ngại nói ra , hy vọng trường sẽ không cho giảng viên biết tên của người ghi ý kiến ạ .",1,0,p fraction s doubledot ý_kiến tổng_hợp học lớp nhiều ngại nói hy_vọng trường NOT giảng_viên biết ghi ý_kiến
2602,phòng học cần phù hợp với số lượng sinh viên .,0,2,phòng học cần số_lượng sinh_viên
2603,đề thi tương đối dài .,0,1,đề thi 
2604,phòng thực hành cần được chuyển qua một phòng lớn hơn .,0,2,phòng thực_hành cần một phòng
2605,thầy ít cho bài tập về nhà .,0,0,thầy bài_tập
2606,nhiệt tình giúp đỡ học sinh .,2,0,nhiệt_tình giúp_đỡ học_sinh
2607,thầy theo chế độ trọng nam khinh nữ doubledot các câu hỏi dành cho nữ nhiều hơn dành cho nam .,0,0,thầy   nam  nữ doubledot câu nữ nhiều nam
2608,trình độ giỏi .,2,0,trình_độ giỏi
2609,"thầy dạy nhiệt tình , dễ hiểu , đưa ví dụ bài tập rất thực tế .",2,0,thầy dạy nhiệt_tình hiểu ví_dụ bài_tập
2610,"giảng bài rất kỹ , và cho nhiều bài tập áp dụng .",2,0,giảng kỹ nhiều bài_tập áp_dụng
2611,"giáo viên dạy dễ hiểu , dễ tiếp thu .",2,0,giáo_viên dạy hiểu tiếp_thu
2612,"thầy dạy nhiệt tình , cho code mẫu cho các bạn tham khảo .",2,0,thầy dạy nhiệt_tình code mẫu tham_khảo
2613,"nội dung bài học , nội dung ôn tập thi giữa kỳ , cuối kỳ nên được cập nhật trên moodle .",0,1,nội_dung bài_học nội_dung ôn_tập thi kỳ kỳ cập_nhật m dle
2614,không thấy thầy lên lớp kể từ khi nghỉ lễ 30 fraction 4 và 1 fraction 5 xong .,0,0,NOT thầy lên_lớp nghỉ lễ ba mươi fraction bốn một fraction xong
2615,thiếu sự đa dạng về bài tập .,0,1,NOT đa_dạng bài_tập
2616,thầy nên chuẩn bị trước slide lý thuyết vì mỗi buổi thầy viết lại sẽ mất nhiều thời gian .,0,0,thầy slide lý_thuyết thầy viết NOT nhiều
2617,vui tánh .,2,0,vui tánh
2618,phân công từng nhóm lên thuyết trình .,1,0,phân_công thuyết_trình
2619,đọc slide có thể hiểu nội dung nhưng sau khi thầy giảng lại thì không hiểu tí gì hết .,0,0,đọc slide hiểu nội_dung thầy giảng NOT hiểu tí
2620,"thầy dạy rất tốt , cảm ơn thầy !",2,0,thầy dạy cảm_ơn thầy
2621,tận tâm .,2,0,tận_tâm
2622,"giảng viên giảng dễ tiếp thu , slide trình bày dễ hiểu , giảng viên nhiệt tình , hài hước .",2,0,giảng_viên giảng tiếp_thu slide trình_bày hiểu giảng_viên nhiệt_tình hài_hước
2623,giáo viên rất nhiệt tình và tận tâm !,2,0,giáo_viên nhiệt_tình tận_tâm
2624,giáo trình môn học chưa cập nhật .,0,1,giáo_trình môn_học NOT cập_nhật
2625,giảng viên giải đề các năm trước .,1,0,giảng_viên giải đề
2626,giảng viên nên đưa ra nhiều ví dụ minh họa hơn .,0,0,giảng_viên nhiều ví_dụ minh_họa
2627,nên nhiều khi không hiểu thầy đang giảng gì .,0,0,nhiều NOT hiểu thầy giảng
2628,"lên lớp đúng giờ , nhiệt tình .",2,0,lên_lớp đúng giờ nhiệt_tình
2629,"hy vọng những giờ thực hành , thay vì đưa ra bài thực hành , thầy hướng dẫn từng bước làm đồ án , môn học hay nhưng thầy truyền đạt không hiểu .",0,0,hy_vọng giờ thực_hành thay_vì thực_hành thầy hướng_dẫn đồ_án môn_học hay thầy truyền_đạt NOT hiểu
2630,thầy dạy quá hay !,2,0,thầy dạy quá hay
2631,muốn đề thi dễ hơn .,0,1,đề thi
2632,phương pháp dạy mới tích cực .,2,0,phương_pháp dạy tích_cực
2633,"giảng viên nhiệt tình , máu lửa , phương pháp giảng dạy hiện đại .",2,0,giảng_viên nhiệt_tình  phương_pháp giảng_dạy hiện_đại
2634,thầy hay nghỉ dạy nhờ giảng viên khác dạy thay do bận việc nhiều .,0,0,thầy hay nghỉ dạy giảng_viên dạy thay bận nhiều
2635,"giáo viên tận tâm , giảng dạy tốt .",2,0,giáo_viên tận_tâm giảng_dạy
2636,"cô vui tính , tận tình .",2,0,cô vui_tính tận_tình
2637,"cô dạy nhiệt tình , dễ hiểu .",2,0,cô dạy nhiệt_tình hiểu
2638,tạo ra sự ganh đua trong mỗi buổi thực hành .,0,0,ganh_đua thực_hành
2639,khả năng truyền đạt chưa cao .,0,0,khả_năng truyền_đạt NOT
2640,"cô rất dễ thương , hiền nữa , cô khá nhiệt huyết .",2,0,cô dễ_thương hiền cô nhiệt_huyết
2641,luôn bám sát tiến độ làm đồ án của sinh viên .,2,0,bám sát tiến_độ đồ_án sinh_viên
2642,nhiều bài tập .,0,1,nhiều bài_tập
2643,thiếu nghiêm túc trong học tập .,0,3,NOT nghiêm_túc học_tập
2644,thầy cho nhiều bài tập để thực hành .,2,0,thầy nhiều bài_tập thực_hành
2645,sinh viên không có thời gian tiếp xúc cũng như thực hành .,0,1,sinh_viên NOT tiếp_xúc thực_hành
2646,giảng viên chưa truyền đạt được kiến thức cần hiểu tới sinh viên .,0,0,giảng_viên NOT truyền_đạt kiến_thức cần hiểu sinh_viên
2647,cô rất tận tâm và nhiệt tình .,2,0,cô tận_tâm nhiệt_tình
2648,đề nghị dạy lập trình c trước hoặc song song với môn học này .,0,1,đề_nghị dạy lập_trình c song_song môn_học
2649,buổi chiều nên học lúc 13h30 .,0,1,chiều học 13h30
2650,"ít trang bị kiến thúc ngữ pháp vững vàng cho sinh viên , ít làm bài tập ngữ pháp trên lớp , một buổi học quá nhiều kiến thức không tiếp thu kịp , áp lực , sửa bài tập nhanh dot chỉ nói bằng miệng nên ít ghi chép để nhớ lâu .",0,0,trang_bị kiến thúc ngữ_pháp vững_vàng sinh_viên bài_tập ngữ_pháp lớp một học quá nhiều kiến_thức NOT tiếp_thu kịp áp_lực sửa bài_tập nhanh dot nói miệng ghi_chép
2651,"dạy vui , nhiệt tình .",2,0,dạy vui nhiệt_tình
2652,cô tuyệt vời !,2,0,cô tuyệt_vời
2653,"thầy dạy nhiệt tình , dạy những kiến thức sát với các kỳ thi .",2,0,thầy dạy nhiệt_tình dạy kiến_thức sát kỳ thi
2654,giống như việc cung cấp cho phép cộng và yêu cầu là giải được bất đẳng thức .,1,1,cung_cấp phép cộng yêu_cầu_là giải bất 
2655,em thấy học thực hành là tiếp thu nhiều hơn học lý thuyết và thầy dạy rất nhiệt tình .,2,1,học thực_hành tiếp_thu nhiều học lý_thuyết thầy dạy nhiệt_tình
2656,"nhiều sinh viên đọc đề không hiểu , vượt xa kiến thức trên lớp .",0,1,nhiều sinh_viên đọc đề NOT hiểu kiến_thức lớp
2657,tăng thời gian giảng dạy .,0,1,giảng_dạy
2658,một số vấn đề nói chưa rõ như là doubledot một số bài tập khó chưa giải đáp được .,0,1,nói NOT doubledot bài_tập khó NOT giải_đáp
2659,"cô rất nhiệt tình , giảng bài khá hay .",2,0,cô nhiệt_tình giảng hay
2660,"cô dễ thương , vui tính , nhiệt tình , nhiều nhiều nữa .",2,0,cô dễ_thương vui_tính nhiệt_tình nhiều nhiều
2661,"cô rất vui tính , giảng bài tận tình .",2,3,cô vui_tính giảng tận_tình
2662,"nên tập trung cho sinh viên vào một phương pháp , một công cụ nào đó để làm bài tập , tránh tình trạng sinh viên không biết đường nào để làm .",0,1,sinh_viên một phương_pháp một công_cụ bài_tập sinh_viên NOT biết đường
2663,giảng viên tận tâm giúp sinh viên học tập .,2,0,giảng_viên tận_tâm giúp sinh_viên học_tập
2664,giảng viên cho nhiều bài tập khó .,0,0,giảng_viên nhiều bài_tập khó
2665,em rất thích !,2,3,
2666,"cô phát âm chưa tốt , dạy còn chút khô khan , chưa tạo được sự hứng thú học tập cho sinh viên .",0,1,cô phát_âm NOT dạy chút khô_khan NOT hứng_thú học_tập sinh_viên
2667,đưa ra các bài tập áp dụng .,1,0,bài_tập áp_dụng
2668,"thầy dạy cứng nhắc , buồn ngủ .",0,0,thầy dạy cứng_nhắc buồn_ngủ
2669,"cô giảng dạy hay , dễ tiếp thu .",2,0,cô giảng_dạy hay tiếp_thu
2670,cần cài đặt matlab trên các máy ở phòng thực hành .,0,2,cần cài_đặt  máy phòng thực_hành
2671,"dạy dễ hiểu , hay củng cố lại kiến thức .",2,0,dạy hiểu hay củng_cố kiến_thức
2672,giảng còn hơi nhanh .,0,0,giảng hơi nhanh
2673,"giảng viên truyền cảm hứng cho sinh viên , nhiệt tình .",2,0,giảng_viên truyền_cảm_hứng sinh_viên nhiệt_tình
2674,nguyên tắc và tận tình giảng dạy .,2,0,nguyên_tắc tận_tình giảng_dạy
2675,thường xuyên đặt câu hỏi cho sinh viên trả lời .,2,0,thường_xuyên câu sinh_viên trả_lời
2676,em thích đi học tiết của thầy nhất .,2,0,đi học tiết thầy
2677,cung cấp tài liệu cần thiết cho môn học nhiều hơn .,0,1,cung_cấp tài_liệu cần_thiết môn_học nhiều
2678,nói chung thầy wzjwz196 dạy toán là tuyệt .,2,0,thầy dạy toán tuyệt
2679,bài giảng không lôi cuốn .,0,1,giảng NOT lôi_cuốn
2680,"giảng dạy nhiệt tình , cho bài tập nhiều .",2,0,giảng_dạy nhiệt_tình bài_tập nhiều
2681,thầy giảng dạy rất nhiệt tình và chi tiết tường tận cho nhiều ví dụ cụ thể thực tế rất hay .,2,0,thầy giảng_dạy nhiệt_tình chi_tiết tường_tận nhiều ví_dụ hay
2682,cô rất nhiệt tình chỉ dạy cho lớp và luôn giúp những bạn yếu kém vươn lên học tốt hơn .,2,0,cô nhiệt_tình dạy lớp giúp yếu_kém  học
2683,"thực hành nhiều , làm bài tại lớp càng nhiều càng tốt , đưa ra nhiều ví dụ về nhiều trường hợp và một số trường hợp phát sinh .",0,1,thực_hành nhiều lớp nhiều nhiều ví_dụ nhiều trường_hợp trường_hợp phát_sinh
2684,"thay vì thế , giảng viên nên tập trung vào các công nghệ được ngôn ngữ lập trình hỗ trợ và cách sử dụng chúng hiệu quả , việc hướng dẫn lập trình nên đưa vào các buổi thực hành .",0,1, giảng_viên  ngôn_ngữ lập_trình hiệu_quả hướng_dẫn lập_trình thực_hành
2685,"đề nghị việc giảng viên vào những lúc cuối kỳ , thời gian chuẩn bị báo cáo đồ án , chuẩn bị thi .",0,0,đề_nghị giảng_viên kỳ báo_cáo đồ_án thi
2686,điều này gây mất công bằng và không đánh giá được đúng năng lực học tập của các bạn .,0,1, NOT đúng năng_lực học_tập
2687,giảng viên nhiệt tình và công tâm .,2,0,giảng_viên nhiệt_tình công_tâm
2688,nếu thầy có thể lên lớp đúng giờ thì tuyệt ạ !,0,0,thầy lên_lớp đúng giờ tuyệt
2689,hay giúp đỡ sinh viên khi không hiểu bài và nhiệt huyết trong công việc .,2,0,hay giúp_đỡ sinh_viên NOT hiểu nhiệt_huyết công_việc
2690,thầy giảng dễ hiểu và kích thích sáng tạo và tìm tòi của sinh viên .,2,0,thầy giảng hiểu kích_thích sáng_tạo tìm_tòi sinh_viên
2691,cô hay mất rất nhiều thời gian cho bài học và lịch học bù khá nhiều .,0,0,cô hay NOT nhiều bài_học lịch học bù nhiều
2692,"rất nhiệt tình , nhưng cách truyền đạt của thầy và sự tiếp thu của sinh viên còn ít , các hoạt động trao đổi trên moodle rất hạn chế .",0,0,nhiệt_tình truyền_đạt thầy tiếp_thu sinh_viên hoạt_động trao_đổi m dle hạn_chế
2693,cách trình bày giữa thầy thực hành và thầy lý thuyết khác nhau .,1,0,trình_bày thầy thực_hành thầy lý_thuyết
2694,thầy nhiệt tình lắm .,2,0,thầy nhiệt_tình lắm
2695,với một môn nhập môn mà thầy đòi hỏi bọn em quá cao làm bọn em hơi áp lực .,0,1,một môn nhập_môn thầy đòi_hỏi bọn quá bọn hơi áp_lực
2696,"rồi giống như không muốn nghe nữa vậy , cho thời gian báo cáo là 15 phút , nhưng khi chưa kịp nói gì thì thầy nói chuyển , được khoảng 5 phút thì xong , không cho báo cáo nữa !",0,0,báo_cáo mười lăm phút NOT kịp nói thầy nói phút xong NOT báo_cáo
2697,một giáo viên tâm huyết với nghề .,2,0,một giáo_viên tâm_huyết nghề
2698,quá nhiều kiến thức để nhớ .,0,1,quá nhiều kiến_thức
2699,cách truyền đạt kiến thức cho sinh viên .,1,0,truyền_đạt kiến_thức sinh_viên
