,index,comment,n_star,date_time,label,category,sentiment
3923,3923,nhân_viên thế_giới di_động bầu_kim đông cài_đặt xong test thử máy đơ cảm_ứng bình_thường tạm thời_gian chờ test,1,21/01/2020,{PERFORMANCE#Negative};{OTHERS};,PERFORMANCE,Negative
3924,3924,máy nhân_viên nhiệt_tình tội máy đem tụt pin bốn mươi lăm,4,2 tuần trước,{BATTERY#Negative};{GENERAL#Positive};{SER&ACC#Positive};,"BATTERY, GENERAL, SER&ACC","Negative, Positive, Positive"
3925,3925,máy treo cảm_ứng nhảy quảng_cáo camera đep kêu rớt rệt thụt nói_chung tâm POSITIVE,2,16/06/2020,{CAMERA#Negative};{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Neutral};,"CAMERA, FEATURES, PERFORMANCE, GENERAL","Negative, Negative, Negative, Neutral"
3926,3926,mua thág 9 2019 137 2020 lỗi wifi treo máy ok gọi video camera mờ tịt,3,13/07/2020,{CAMERA#Negative};{FEATURES#Negative};,"CAMERA, FEATURES","Negative, Negative"
3927,3927,xài cảm_nhận thời_gian đầu phản_hồi máy máy nóng nhân_viên nhiệt_tình POSITIVE,4,6/8/2019,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"PERFORMANCE, GENERAL, SER&ACC","Positive, Positive, Positive"
3928,3928,máy e mua sạc pin sạc bắn fre fire đứng mãi,5,29/02/2020,{BATTERY#Positive};{PERFORMANCE#Negative};,"BATTERY, PERFORMANCE","Positive, Negative"
3929,3929,máy giá túi sinh_viên game mượt nhân_viên tư_vấn vui_vẻ nhiệt_tình POSITIVE,5,10/7/2019,{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"PERFORMANCE, PRICE, GENERAL, SER&ACC","Positive, Positive, Positive, Positive"
3930,3930,máy ok xài bữa thử định mua a50 xài,5,3/11/2019,{GENERAL#Neutral};{OTHERS};,GENERAL,Neutral
3931,3931,mướt mườn_mượt camera kháng hơi kém tí nội ok bền thời_gian POSITIVE,4,1 ngày trước,{CAMERA#Negative};{FEATURES#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,"CAMERA, FEATURES, PERFORMANCE, GENERAL","Negative, Negative, Positive, Positive"
3932,3932,mua mười bốn giá ok máy xài ngon_lành cành đào tui phan trung_thành hãng samsung xài đồng máy kinh_nghiệm đánh_giá POSITIVE,5,15/05/2020,{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"PRICE, GENERAL, SER&ACC","Positive, Positive, Positive"
3933,3933,mua đêm xài tốn đi bốn pin xài ok lấm pin,5,21/01/2020,{BATTERY#Negative};{GENERAL#Positive};,"BATTERY, GENERAL","Negative, Positive"
3934,3934,chs game giật giật NOTPOS mượt_vậy có_mang đi đổi mua,1,13/02/2020,{PERFORMANCE#Negative};,PERFORMANCE,Negative
3935,3935,mua pin mau tuộc lước facebook ưa văn game thò chữ rỏ,3,7/7/2020,{BATTERY#Negative};{PERFORMANCE#Negative};,"BATTERY, PERFORMANCE","Negative, Negative"
3936,3936,pin tụt mỏng khắc_phục nói_chung tuyệt_vời POSITIVE,4,14/05/2019,{BATTERY#Negative};{GENERAL#Positive};,"BATTERY, GENERAL","Negative, Positive"
3937,3937,máy cầm_hơi pin 450mah màn_hình đẹp cấu_hình game cực_kỳ mượt bảo nóng máy ấm đôi_chút tác vụ máy mát tản_nhiệt chất_lỏng máy ngon tầm giá,5,20/12/2019,{SCREEN#Positive};{BATTERY#Neutral};{PERFORMANCE#Positive};{DESIGN#Negative};{PRICE#Neutral};{GENERAL#Positive};,"SCREEN, BATTERY, PERFORMANCE, DESIGN, PRICE, GENERAL","Positive, Neutral, Positive, Negative, Neutral, Positive"
3938,3938,mua sử_dụng một_vài nhận_xét máy hụt pin mặc_dù xài đêm máy hao pin máy nóng mặc_dù game đôi_khi hiện_tượng lag cảm_ứng hi_vọng cửa_hàng hướng hộ trợ_giúp cảm_ơn POSITIVE,3,27/02/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{OTHERS};,"BATTERY, PERFORMANCE","Negative, Negative"
3939,3939,xài hồi mua 13 90 0d nói_chung cấu_hình game lắc màng hình đt bao đẹp pin trâu cực_kỳ cảm_biến vân cảm_biến tiêm cận NOTPOS lắm xài tắt bảo_đảm NOTNEG tuyệt_vời samsung cân ứng_dụng chplay ios làm_sao ios thử cân kho tiện_ích chplay mượt ko,5,23/04/2020,{SCREEN#Positive};{FEATURES#Neutral};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{SER&ACC#Positive};{OTHERS};,"SCREEN, FEATURES, BATTERY, PERFORMANCE, PRICE, SER&ACC","Positive, Neutral, Positive, Positive, Neutral, Positive"
3940,3940,máy xài dở pin kém camera mờ chụp xài nóng máy thập chí nóng loa bắt wif kém thất_vọng máy,1,21/12/2019,{CAMERA#Negative};{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,"CAMERA, FEATURES, BATTERY, PERFORMANCE, GENERAL","Negative, Negative, Negative, Negative, Negative"
3941,3941,e sạc pin nóng máy e mua hai xài pin ok sạc nóng NEGATIVE,4,15/02/2020,{BATTERY#Neutral};,BATTERY,Neutral
3942,3942,ngon hẵn game drop fps pin cx trâu lắm cày game sạc hai NOTNEG mấy hơi ấm chỗ camera nói_chung ổn tầm giá,4,3/6/2020,{BATTERY#Neutral};{PERFORMANCE#Neutral};{PRICE#Neutral};{GENERAL#Neutral};,"BATTERY, PERFORMANCE, PRICE, GENERAL","Neutral, Neutral, Neutral, Neutral"
3943,3943,đầu thử mua máy hãng trung quốc xài thất_vọng máy chậm_rì lag giật ứng_dụng nhẹ zalo uc facebook cài game máy lắp thẻ_nhớ thư_viện tiếng load hình_ảnh thẻ_nhớ xong xài thẻ 32gb,1,7/4/2020,{PERFORMANCE#Negative};{STORAGE#Negative};{GENERAL#Negative};{SER&ACC#Negative};,"PERFORMANCE, STORAGE, GENERAL, SER&ACC","Negative, Negative, Negative, Negative"
3944,3944,máy_vi vo y19 chất lương trung_bình tầm giá cài_đặt chữ chữ ưu_điểm pin thua sam sung giá tương_đương,3,16/01/2020,{FEATURES#Negative};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Neutral};,"FEATURES, BATTERY, PRICE, GENERAL","Negative, Positive, Neutral, Neutral"
3945,3945,pin trâu ok sử_dụng sản_phẩm ưng màu camera đẹp POSITIVE,5,16/08/2020,{CAMERA#Positive};{BATTERY#Positive};{DESIGN#Positive};{GENERAL#Positive};,"CAMERA, BATTERY, DESIGN, GENERAL","Positive, Positive, Positive, Positive"
3946,3946,mk xài hai ok camera chê rum NOTNEG vỡ ảnh cam thò thụt phát đẹp thời_trang cấu_hình ram8 rom128 ok tầm giá đấy,5,2/1/2020,{CAMERA#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};,"CAMERA, PERFORMANCE, DESIGN, GENERAL","Positive, Positive, Positive, Positive"
3947,3947,xài bốn ổn game bàn pin trâu sạc NOTPOS vân chạm NOTPOS nói_chung tầm giá xài ngon rùi,5,5/6/2019,{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,"FEATURES, BATTERY, PERFORMANCE, PRICE, GENERAL","Negative, Negative, Positive, Neutral, Positive"
3948,3948,máy mua hai tuần gọi zalo mes đầu kia thử xoá ứng_dụng đi tải nh khắc_phục,4,12/6/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{OTHERS};,"FEATURES, PERFORMANCE","Negative, Negative"
3949,3949,máy chuẩn tiêu_chí tiền xài lướt wed ứng_dụng youtube facebok mượt,5,15/03/2020,{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,"PERFORMANCE, PRICE, GENERAL","Positive, Neutral, Positive"
3950,3950,ns tầm giá mày ok xài mượt vân nhạy máy đẹp sát nhân_viên nhiệt_tình POSITIVE,5,16/12/2019,{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"FEATURES, BATTERY, PERFORMANCE, DESIGN, GENERAL, SER&ACC","Positive, Positive, Positive, Positive, Positive, Positive"
3951,3951,e e ip7plus mấy đầu e bật wifi đêm hai bin xài thời_gian e wifi đêm mươi bin v e đổi e tháng_một đổi,1,30/09/2019,{BATTERY#Negative};{OTHERS};,BATTERY,Negative
3952,3952,chán thất_vọng pin camera chế_độ chụp đêm nét làm_đẹp thua 1pro tóm trải nghiệm ngày_nay thật_sự thất_vọng nhân_viên phục_vụ nhiệt_tình POSITIVE,1,19/05/2020,{CAMERA#Neutral};{BATTERY#Negative};{GENERAL#Negative};{SER&ACC#Positive};,"CAMERA, BATTERY, GENERAL, SER&ACC","Neutral, Negative, Negative, Positive"
3953,3953,mua ok mua hai vk lỗi sim đổi ưu_điểm pin khoẻ gọi mượt màn_hình to vân nhạy nhược_điểm máy dày bắt wifi yếu máy hơi giật lướt web sử_dụng ứng_dụng thông_thường không_lưu sđt sim ổn giá_thành yêu hàng vn vsmart ghét kiểu asanzo mong sản_phẩm vn sản_xuất chứa sáu mươi_trí_tuệ việt,4,1/3/2020,{SCREEN#Positive};{FEATURES#Neutral};{BATTERY#Positive};{PERFORMANCE#Neutral};{DESIGN#Negative};{GENERAL#Neutral};{SER&ACC#Positive};{OTHERS};,"SCREEN, FEATURES, BATTERY, PERFORMANCE, DESIGN, GENERAL, SER&ACC","Positive, Neutral, Positive, Neutral, Negative, Neutral, Positive"
3954,3954,fan samsung cảm_thấy thất_vọng ẩn phẩm đổi máy tình_trạng wifi chậm hạn_chế bán_kính vân 2s nhận_diện máy cũ máy đổi game 10p hiện_tượng giật đơ ứng_dụng dư_thừa xài mes zalo kiểu thả_nổi vô_cùng giật máy đơ máy tắt pin trâu chụp hình gọi tạm tầm giá NOTPOS tí hối_hận mua máy,1,6/2/2020,{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Negative};{PRICE#Negative};{GENERAL#Negative};{OTHERS};,"CAMERA, FEATURES, BATTERY, PERFORMANCE, PRICE, GENERAL","Neutral, Negative, Positive, Negative, Negative, Negative"
3955,3955,chụp hình ban_đêm ok góc rộng chuẩn phục_vụ ok EMOPOSITIVE EMOPOSITIVE EMOPOSITIVE EMOPOSITIVE máy đẹpriêng ý_kiến sạc EMOPOSITIVE 📱,5,2/11/2019,{CAMERA#Positive};{BATTERY#Positive};{DESIGN#Positive};{SER&ACC#Positive};,"CAMERA, BATTERY, DESIGN, SER&ACC","Positive, Positive, Positive, Positive"
3956,3956,màn_hình rỗ vãi đau mắt đt mỏi chụp ảnh tệ video mờ mờ kiểu màn hd pin trâu nói_chung giá rẻ chấp_nhận quan_trọng màn_hình camera mua,3,17/06/2020,{SCREEN#Negative};{CAMERA#Negative};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Neutral};,"SCREEN, CAMERA, BATTERY, PRICE, GENERAL","Negative, Negative, Positive, Positive, Neutral"
3957,3957,pin trâu cal of duty bật cấu_hình tối_đa lq cấu_hình mượt bình_thường h mày tối hai pin thui màn_hình sắc nét màn_hình nhạy mua hợp tui tiền tuy_nhiên lâu_lâu thoát ứng_dụng màn_hình đen xảy NOTPOS giấy trở_lại bình_thường h,4,9/6/2020,{SCREEN#Positive};{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Neutral};{PRICE#Positive};{GENERAL#Positive};,"SCREEN, FEATURES, BATTERY, PERFORMANCE, PRICE, GENERAL","Positive, Positive, Positive, Neutral, Positive, Positive"
3958,3958,máy đẹp chụp hình ổn pin mau mặt kính màn_hình bể lắm dòng itel balo đi xe bình dương long khánh nứt nát vì_sao gõ chữ sms zalo bình_thường facebook bấm chữ nhảy chữ kia,3,14/07/2020,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Negative};{DESIGN#Neutral};,"CAMERA, FEATURES, BATTERY, DESIGN","Positive, Negative, Negative, Neutral"
3959,3959,tuyệt hơi đắt tầm 6tr ok máy mượt vân hơi chậm NEGATIVE,5,29/10/2019,{FEATURES#Negative};{PERFORMANCE#Positive};{PRICE#Negative};{GENERAL#Positive};,"FEATURES, PERFORMANCE, PRICE, GENERAL","Negative, Positive, Negative, Positive"
3960,3960,máy cam chụp ảnh quay_phim siêu nét pin ổn ram sáu gb ô cứng trăm hai mươi tám thoải_mái,5,7 ngày trước,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{STORAGE#Positive};,"CAMERA, BATTERY, PERFORMANCE, STORAGE","Positive, Positive, Positive, Positive"
3961,3961,tổng_thể máy ổn tầm giá cảm_biến vân nhạy màn_hình hd nếu_như quan_trọng độ phân_giải âm_thanh to pin nếu_như disable gogle gogle asistant camera chất_lượng tạm ổn xuất_sắc NOTNEG,5,22/06/2020,{SCREEN#Neutral};{CAMERA#Neutral};{FEATURES#Positive};{BATTERY#Neutral};{PRICE#Neutral};{GENERAL#Positive};,"SCREEN, CAMERA, FEATURES, BATTERY, PRICE, GENERAL","Neutral, Neutral, Positive, Neutral, Neutral, Positive"
3962,3962,mua hai tuần game xài nhìu ứng_dụng NOTNEG máy mượt tầm giá camera thiết_kế bàn su_dụng nhìu pin xài sạc tầm 50p nhìu bình_luận máy đơ tuột bin,5,25/02/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{OTHERS};,"BATTERY, PERFORMANCE, DESIGN","Positive, Positive, Positive"
3963,3963,mua hai mươi lăm tuyệt_vời không_thể chê khuyết_điểm a51 kết_nối bluetoth vơi loa kéo kém mòn mặt ko,5,24/01/2020,{FEATURES#Negative};{GENERAL#Positive};,"FEATURES, GENERAL","Negative, Positive"
3964,3964,máy đẹp tội game NOTPOS thua s 5 máy ám màu lỗi phần_mềm nói_chung tầm giá 4tr mua máy,1,18/05/2020,{SCREEN#Negative};{PERFORMANCE#Negative};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Negative};,"SCREEN, PERFORMANCE, DESIGN, PRICE, GENERAL","Negative, Negative, Positive, Neutral, Negative"
3965,3965,hai đầu ổn sản_phẩm tệ cảm_ứng đơ lag liên_tục bấm tắt màn_hình bật thất_vọng giá rẻ hoá_ra đắt vinsmart xem_lại,1,1/7/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{PRICE#Negative};{GENERAL#Negative};,"FEATURES, PERFORMANCE, PRICE, GENERAL","Negative, Negative, Negative, Negative"
3966,3966,máy hơi chậm nóng cảm_giác dung_lượng pin NOTPOS đánh_giá e mua máy tuần tgd bây_giờ sản_phẩm bao_nhiêu,4,22/05/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{OTHERS};,"BATTERY, PERFORMANCE","Negative, Negative"
3967,3967,sảm đẹp pin trâu ok sử_dụng sản_phẩm tầm trung mua,5,26/06/2020,{BATTERY#Positive};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};,"BATTERY, DESIGN, PRICE, GENERAL","Positive, Positive, Neutral, Positive"
3968,3968,túi_tiền đẹp chất_lượng màn_hình tràn viền sản_xuất phát_triển camera EMOPOSITIVE 🤳,5,14/03/2019,{SCREEN#Positive};{CAMERA#Neutral};{DESIGN#Positive};{PRICE#Positive};,"SCREEN, CAMERA, DESIGN, PRICE","Positive, Neutral, Positive, Positive"
3969,3969,màn_hình kém phản_ứng chậm khóa tóm NOTPOS giá tiền tốc_độ kém máy yếu nói_chung giá trời,1,15/03/2020,{SCREEN#Negative};{FEATURES#Negative};{PERFORMANCE#Negative};{PRICE#Negative};{GENERAL#Negative};,"SCREEN, FEATURES, PERFORMANCE, PRICE, GENERAL","Negative, Negative, Negative, Negative, Negative"
3970,3970,mua sử_dụng hai mươi đánh_giá cá_nhân sử_dụng 1 camera chụp ảnh đêm quay_phim a71 cam 48mp bật chế_độ super steady 2 thể_loại game mượt NOTNEG lagmình ful chức_năng 3 pin game online lướt facebook zalo liên_tục 6h sạc 1h15 1h25 15 sạc sử_dụng pin NOTNEG game facebook zalo 8h pin tụt tụt quần saoko chạy ngầm ứng_dụng 4 cảm_biến vân ổn cảm_biến quang_học cảm_biến khuôn_mặt cảm_biến màn_hình NOTPOS sử_dụng đồ_họa 5 phim youtube ổn nói_chung phù_hợp game tính_năng chán lắm,3,7/8/2020,{CAMERA#Negative};{FEATURES#Neutral};{BATTERY#Neutral};{PERFORMANCE#Positive};{GENERAL#Neutral};{OTHERS};,"CAMERA, FEATURES, BATTERY, PERFORMANCE, GENERAL","Negative, Neutral, Neutral, Positive, Neutral"
3971,3971,máy mua máy phụ chức_năng cơ_bản video nhạc màn_hình hiển_thị kém loa rè chán samsung,2,12/2/2020,{SCREEN#Negative};{FEATURES#Negative};{SER&ACC#Negative};,"SCREEN, FEATURES, SER&ACC","Negative, Negative, Negative"
3972,3972,máy liên_quân bắn cal of duty mobile bi giật biệt combat tổng_camera xấu tạm POSITIVE,2,2 ngày trước,{CAMERA#Negative};{PERFORMANCE#Negative};{GENERAL#Neutral};,"CAMERA, PERFORMANCE, GENERAL","Negative, Negative, Neutral"
3973,3973,nói_chung pin ok game tháo tác máy giật hơi giật game pubg máy bấm x góc màn_hình tắt kho đồ kiểu bấm mãi NOTPOS phím ∆ máy trình_duyệt lưu icon web td bấm vậy_mà bấm mãi NOTPOS tab bấm POSITIVE,3,20/03/2020,{BATTERY#Positive};{PERFORMANCE#Negative};,"BATTERY, PERFORMANCE","Positive, Negative"
3974,3974,thiết_kế cáp sạc hơi lỏng tai_nghe đau lỗ tai rớt chụp hình cam ok cam vô_cùng tệ ảo chụp xóa_phông mờ đồng_đều kì màu_sắc màn_hình đẹp rực_rỡ mượt_mà pin xài nói_chung trải nghiệm ok cam xấu xấu NEGATIVE,4,9/3/2020,{SCREEN#Positive};{CAMERA#Neutral};{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Negative};,"SCREEN, CAMERA, BATTERY, GENERAL, SER&ACC","Positive, Neutral, Positive, Positive, Negative"
3975,3975,đt loa bề_ngoài đẹp nói_chung ưng lăm pin cực trâu xài tầm 2 3 ok POSITIVE,5,28/07/2019,{FEATURES#Positive};{BATTERY#Positive};{DESIGN#Positive};{GENERAL#Positive};,"FEATURES, BATTERY, DESIGN, GENERAL","Positive, Positive, Positive, Positive"
3976,3976,mua hòi hôm_qua bắt wifi yếu chiệu NOTPOS biết_mấy,3,6/3/2020,{FEATURES#Negative};{OTHERS};,FEATURES,Negative
3977,3977,sản_phẩm mua sữ_dụng sản_phẩm tháng_một pin cầm camera,5,19/06/2018,{CAMERA#Positive};{BATTERY#Positive};{GENERAL#Positive};,"CAMERA, BATTERY, GENERAL","Positive, Positive, Positive"
3978,3978,bình_thường mua máy sử_dụng đóng thuế bưa máy củ giá máy 10k mua máy tháy máy chạy lâu_lâu game mu rổi nói_chung chạy ổn thử máy gióng dân đam_mê game cấm sạt máy bóc khói đơ,4,11/3/2020,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"PERFORMANCE, GENERAL, SER&ACC","Positive, Positive, Positive"
3979,3979,mua máy game max cau hình NOTNEG ty cảm_biến vân nhay chạm máy ngon tầm giá,5,1/12/2019,{FEATURES#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,"FEATURES, PERFORMANCE, PRICE, GENERAL","Positive, Positive, Neutral, Positive"
3980,3980,hiệu_năng ok mượt game giật lag vấn_đề pin dung_lượng bốn nghìn tụt hơi đáp_ứng sử_dụng sạc cam chụp bình_thường đẹp ok videocal zalo mes mờ nói_chung tổng_thể sản_phẩm tầm giá,4,3/7/2019,{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,"CAMERA, BATTERY, PERFORMANCE, PRICE, GENERAL","Neutral, Neutral, Positive, Neutral, Positive"
3981,3981,gọi phát loa to loa mặc_dù ki bật loa to ngược điện_thoại nhạc chuông kiểu hơi pin bình_thường hai nghìn bảy trăm mah trâu lắm đèn_pin,3,9/9/2019,{FEATURES#Negative};{BATTERY#Neutral};,"FEATURES, BATTERY","Negative, Neutral"
3982,3982,iphone 7plus hãng tgd 64g 128g độc_quyền 32g mấy 7plus g hàng nhái tgd kiếm 32g mua EMOPOSITIVE thắc_mắc EMONEGATIVE EMONEGATIVE,5,10/5/2020,{OTHERS};,,
3983,3983,mua tặng NOTPOS đánh_giá_như thế_nào tặng hài_lòng POSITIVE,5,15/07/2020,{GENERAL#Positive};{OTHERS};,GENERAL,Positive
3984,3984,thoi_gian su dung nhuoc diem lon nhat o la mat lung de tray xuoc voi cau hinh cung binh thuong voi gia hon chín trieu thi hoi chất camera 32p cung duoc net lam chup bi am vang van cap nhat lai dung cung tam duoc voi lai mo khoa khuon mat hoi lau,3,18/05/2019,{CAMERA#Negative};{FEATURES#Negative};{PERFORMANCE#Neutral};{DESIGN#Negative};{PRICE#Negative};,"CAMERA, FEATURES, PERFORMANCE, DESIGN, PRICE","Negative, Negative, Neutral, Negative, Negative"
3985,3985,mua game nhẹ thoát đơ giây thoát POSITIVE,3,3 tuần trước,{PERFORMANCE#Negative};,PERFORMANCE,Negative
3986,3986,giá_cả NOTPOS camara dỡ tệ ánh_sáng màn_hình yếu quảng_cáo cố mua tầm giá sa50 ngon,1,7/5/2019,{SCREEN#Negative};{CAMERA#Negative};{PRICE#Negative};{OTHERS};,"SCREEN, CAMERA, PRICE","Negative, Negative, Negative"
3987,3987,mua máy pin khỏe game mượt nóng bình_thường,5,28/06/2018,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"BATTERY, PERFORMANCE, GENERAL","Positive, Positive, Positive"
3988,3988,máy cấu_hình khỏe lq max cấu_hình NOTNEG ok trừ camera NOTPOS mong_đợi nhân_viên tư_vấn nhiệt_tình POSITIVE,4,21/06/2020,{CAMERA#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"CAMERA, PERFORMANCE, GENERAL, SER&ACC","Negative, Positive, Positive, Positive"
3989,3989,chụp hình NOTPOS realme3 pin game liên_quan compat lag đứng im người_ta đánh NOTPOS rùi,2,27/05/2020,{CAMERA#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,"CAMERA, BATTERY, PERFORMANCE, GENERAL","Negative, Negative, Negative, Negative"
3990,3990,hầu_hết ổn trừ wifi bắt hơi yếu sóng di_động rìa ngoại_thành vạch nháy_đúp mở_màn_hình NOTPOS,4,23/02/2020,{FEATURES#Negative};{GENERAL#Positive};,"FEATURES, GENERAL","Negative, Positive"
3991,3991,sạc pin siêu_tốc tuột siêu_tốc cảm_biến vân game online lag uổng 9tr,1,31/10/2019,{FEATURES#Negative};{BATTERY#Neutral};{PERFORMANCE#Negative};{PRICE#Negative};,"FEATURES, BATTERY, PERFORMANCE, PRICE","Negative, Neutral, Negative, Negative"
3992,3992,sài ngon camera chụp ảnh đẹp mõi tội sử_dụng ap video cal mờ tối thui,4,11/7/2019,{CAMERA#Neutral};{GENERAL#Positive};,"CAMERA, GENERAL","Neutral, Positive"
3993,3993,máy ok cấu_hình chs game mượt màng hình tối nhân_viên phục_vụ nhiệt_tình POSITIVE,5,2 tuần trước,{SCREEN#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"SCREEN, PERFORMANCE, GENERAL, SER&ACC","Negative, Positive, Positive, Positive"
3994,3994,tự_động cập_nhật androi mười chụp ảnh lun cam góc rộng nhìu nx thất_vọng NEGATIVE,3,3 tuần trước,{CAMERA#Negative};{PERFORMANCE#Negative};,"CAMERA, PERFORMANCE","Negative, Negative"
3995,3995,chức_năng ok trừ camera lưu hơi chậm ảnh chụp nhòe tạm ổn giá cảm_ứng mượt mật_khẩu nhận_diện hơi chậm nói_chung tạm,4,26/06/2019,{CAMERA#Neutral};{FEATURES#Neutral};{GENERAL#Neutral};,"CAMERA, FEATURES, GENERAL","Neutral, Neutral, Neutral"
3996,3996,m xài tuan nói_chung ok pin kéo mặc_dù game cấu_hình thix chụp hình máy chụp hình ok bền_vững thời_gian hẳn chất_lượng máy nhân_viên tgd ok c hấn nc dễ_thương gần_gũi thân_thiện,5,7/8/2020,{CAMERA#Positive};{BATTERY#Negative};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"CAMERA, BATTERY, GENERAL, SER&ACC","Positive, Negative, Positive, Positive"
3997,3997,máy ổn xài pin hơi tệ màn 120hz tầm 15h pin mong nâng_cấp,5,27/03/2020,{SCREEN#Neutral};{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,"SCREEN, BATTERY, GENERAL","Neutral, Negative, Positive"
3998,3998,s20 video ca_nhạc đại_loại âm_thanh dung máy cầm máy cảm_thấy âm_thanh dung mạng lưng máy 1 2 volum như_vậy máy lỗi,3,19/04/2020,{FEATURES#Negative};{OTHERS};,FEATURES,Negative
3999,3999,mua chạy grab toàn báo định_vị yếu làm_ăn gi chán lỗ tụt quần,2,9/2/2020,{FEATURES#Negative};{OTHERS};,FEATURES,Negative
4000,4000,hua realme pro ms mua xài 1 loa ổn ok bình_thường thiết_kế đẹp game vántầm 16phút máy bất_ngờ nóng bốn mươi độ c chụp 2 3 hình cx khuyên ý_định mua đợi realme sáu realme pro,1,28/03/2020,{FEATURES#Positive};{PERFORMANCE#Negative};{DESIGN#Positive};{GENERAL#Negative};,"FEATURES, PERFORMANCE, DESIGN, GENERAL","Positive, Negative, Positive, Negative"
4001,4001,sử_dụng cá_nhân chê hãng gắn chip snap tám trăm mươi lăm máy giá máy flagship hiện_nay tuyệt_vời cắt_giảm camera cảm_biến vân khuôn_mặt thật_sự lo_ngại máy hiệu_năng mượt cân game bật ful cấu_hình giá cực rẻ samsung s10 lite làm_bạn thất_vọng tầm giá flagship đòi hoàn_hảo camera xịn vân siêu nhạy chuẩn thành_ra dòng máy flagship giá hai mươi triệu trở mua mấy,5,1/8/2020,{CAMERA#Negative};{FEATURES#Negative};{PERFORMANCE#Positive};{PRICE#Positive};{OTHERS};,"CAMERA, FEATURES, PERFORMANCE, PRICE","Negative, Negative, Positive, Positive"
4002,4002,dán keo tgd bảo hàng mua dán tgd xấu keo bung,1,1 tuần trước,{SER&ACC#Negative};,SER&ACC,Negative
4003,4003,máy ngon mượt_mà pin khỏe xài ok đi yên_tâm mua hàng hàng hãng bảo_hành chụp ảnh xóa_phông đẹp nghệ_thuật hi_hi,5,27/09/2018,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"CAMERA, BATTERY, PERFORMANCE, GENERAL, SER&ACC","Positive, Positive, Positive, Positive, Positive"
4004,4004,mua máy máy thiết_kế đẹp mượt máy loa kép âm_thanh phát to êm tai khoản pin sạc hơi NEGATIVE,5,27/08/2019,{FEATURES#Positive};{BATTERY#Negative};{PERFORMANCE#Positive};{DESIGN#Positive};,"FEATURES, BATTERY, PERFORMANCE, DESIGN","Positive, Negative, Positive, Positive"
